"probe_id","Refseq_id","Symbol"
"ILMN_1664176","NM_006329.2","FBLN5"
"ILMN_2223941","NM_006329.2","FBLN5"
"ILMN_2399503","NM_001079514.1","UBN1"
"ILMN_2290089","NM_001079514.1","UBN1"
"ILMN_1762294","NM_025008.3","ADAMTSL4"
"ILMN_1687035","NM_025008.3","ADAMTSL4"
"ILMN_2174296","NM_014377.1","DNAJC2"
"ILMN_1697634","XM_001131199.1","FLJ35894"
"ILMN_1758315","NM_173653.1","SLC9A9"
"ILMN_1661643","XM_926863.2","LOC643563"
"ILMN_1663988","XM_001129099.1","LOC731283"
"ILMN_2166696","NM_178127.2","ANGPTL5"
"ILMN_1681234","NM_007185.3","TNRC4"
"ILMN_1660985","XM_937916.1","LOC442388"
"ILMN_1654759","XM_940253.1","CLDN22"
"ILMN_1710329","NM_016132.3","MYEF2"
"ILMN_1813671","NM_005984.1","SLC25A1"
"ILMN_1700633","NM_022060.2","ABHD4"
"ILMN_1660869","XR_015310.1","LOC643438"
"ILMN_1752229","NM_001001563.1","TIMM50"
"ILMN_2332691","NM_173087.1","CAPN3"
"ILMN_1734794","NM_139289.1","AKAP4"
"ILMN_2253207","NM_139289.1","AKAP4"
"ILMN_1806304","NM_004901.2","ENTPD4"
"ILMN_1682864","NM_080861.3","SPSB3"
"ILMN_1752622","NM_002763.3","PROX1"
"ILMN_1680856","NM_005491.2","MAMLD1"
"ILMN_1691884","NM_003714.2","STC2"
"ILMN_1662470","NM_145306.2","C10orf35"
"ILMN_1726225","NM_006217.3","SERPINI2"
"ILMN_1811335","XM_932159.1","LOC653472"
"ILMN_1746378","NM_032484.3","GHDC"
"ILMN_1658074","NM_203303.2","ZCCHC13"
"ILMN_1792571","NM_173728.2","ARHGEF15"
"ILMN_1760922","NM_014776.2","GIT2"
"ILMN_2355776","NM_014776.2","GIT2"
"ILMN_1761348","NM_020880.2","ZNF530"
"ILMN_2234710","NM_175874.2","C12orf60"
"ILMN_2234709","NM_175874.2","C12orf60"
"ILMN_2388965","NM_182947.1","GEFT"
"ILMN_1665887","NM_025234.1","WDR61"
"ILMN_1700679","XM_943829.1","LOC649661"
"ILMN_2057836","NR_002716.1","RNU2-1"
"ILMN_1797975","NM_001504.1","CXCR3"
"ILMN_2154053","NM_002035.1","FVT1"
"ILMN_2154052","NM_002035.1","FVT1"
"ILMN_1665144","XM_934208.1","LOC653468"
"ILMN_1661657","NR_002720.1","TRPC2"
"ILMN_2127007","NR_002720.1","TRPC2"
"ILMN_2184109","NM_006424.2","SLC34A2"
"ILMN_1660541","NM_024938.2","PCNXL2"
"ILMN_2085760","NM_005720.2","ARPC1B"
"ILMN_1740545","XM_941705.1","LOC652286"
"ILMN_1653496","NM_001033056.1","GLUL"
"ILMN_1765208","NM_001033056.1","GLUL"
"ILMN_1656913","NM_005917.2","MDH1"
"ILMN_1656837","NM_002899.2","RBP1"
"ILMN_1656196","NM_198256.2","E2F6"
"ILMN_1700923","NM_032852.2","ATG4C"
"ILMN_2383727","NM_032852.2","ATG4C"
"ILMN_1673605","NM_214710.2","PRSSL1"
"ILMN_2285708","NM_001040437.1","C6orf48"
"ILMN_2391765","NM_001040437.1","C6orf48"
"ILMN_2408968","NM_001040697.1","UEVLD"
"ILMN_1657627","NM_005187.4","CBFA2T3"
"ILMN_1792622","XM_372840.3","LOC391209"
"ILMN_2097997","NM_176891.3","IFNE1"
"ILMN_1734781","NM_176891.3","IFNE1"
"ILMN_2143011","NR_002771.1","DLEU2L"
"ILMN_1743784","NM_004169.3","SHMT1"
"ILMN_1811933","NM_004169.3","SHMT1"
"ILMN_1732575","NM_003003.1","SEC14L1"
"ILMN_2176755","NM_001040715.1","KIAA0895L"
"ILMN_1797102","NM_032528.1","ST6GAL2"
"ILMN_1795728","XM_944721.1","LOC651495"
"ILMN_1779915","XM_941449.1","LOC652115"
"ILMN_1685002","NM_001032279.1","RCE1"
"ILMN_2337492","NM_001032279.1","RCE1"
"ILMN_1663657","XM_939941.1","LOC650853"
"ILMN_1668914","NM_152777.2","C14orf48"
"ILMN_1674201","XM_497141.2","LOC441511"
"ILMN_2357770","NM_201437.1","TCEA1"
"ILMN_1751607","NM_006732.1","FOSB"
"ILMN_1785462","XR_000589.1","LOC390387"
"ILMN_1810069","NM_152523.1","CCNYL1"
"ILMN_2166524","NM_152523.1","CCNYL1"
"ILMN_1718542","XM_928115.1","LOC643430"
"ILMN_2095789","NM_178549.2","ZNF678"
"ILMN_1706960","NM_001098500.1","KIAA1217"
"ILMN_2135527","NM_152317.2","DEPDC4"
"ILMN_1773301","XM_945802.1","LOC650268"
"ILMN_1700316","XM_495885.3","LOC440055"
"ILMN_1682520","XM_928337.1","LOC645293"
"ILMN_1655922","XM_942540.1","SAPS2"
"ILMN_2311761","NM_001002924.1","AP3S1"
"ILMN_1711269","NM_080874.2","ASB5"
"ILMN_2126055","NM_080874.2","ASB5"
"ILMN_1662792","XM_931821.1","LOC653366"
"ILMN_1716579","XM_935583.1","LOC641841"
"ILMN_1811592","NM_020824.2","ARHGAP21"
"ILMN_1688034","NM_004645.2","COIL"
"ILMN_1690035","NM_032296.2","FLYWCH1"
"ILMN_1678390","XM_934224.1","LOC653468"
"ILMN_2215640","NM_080386.1","TUBA3D"
"ILMN_2215639","NM_080386.1","TUBA3D"
"ILMN_1752213","NM_032936.2","TMEM60"
"ILMN_1695246","NM_173546.1","KLHDC8B"
"ILMN_1738589","NM_007283.5","MGLL"
"ILMN_1657708","NM_007283.5","MGLL"
"ILMN_1681076","XM_499019.2","LOC441119"
"ILMN_1708890","NM_032023.3","RASSF4"
"ILMN_1690566","NM_032023.3","RASSF4"
"ILMN_1728301","NM_000818.1","GAD2"
"ILMN_1813131","XM_928128.1","LOC643431"
"ILMN_1653077","XM_939635.1","LOC650549"
"ILMN_1731397","NM_030795.2","STMN4"
"ILMN_1759870","XM_930921.1","LOC653066"
"ILMN_1744887","NM_134441.1","RLN2"
"ILMN_1775646","NM_173464.2","L3MBTL4"
"ILMN_2396903","NM_170737.1","KCNJ15"
"ILMN_1661939","NM_001039948.2","SGSM1"
"ILMN_1762207","NM_001039948.2","SGSM1"
"ILMN_1812474","NM_001007565.1","TFG"
"ILMN_1747192","NM_017831.3","RNF125"
"ILMN_2260833","NM_182851.1","CCNB1IP1"
"ILMN_2347349","NM_182851.1","CCNB1IP1"
"ILMN_1654732","XM_001126824.1","OSR2"
"ILMN_1737715","XM_001126824.1","OSR2"
"ILMN_2389528","NM_001039656.1","MTL5"
"ILMN_1793950","XM_926231.1","P704P"
"ILMN_1785297","NM_001008749.1","RAB19"
"ILMN_1801776","NM_002784.2","PSG9"
"ILMN_1669281","NM_001042432.1","CLN3"
"ILMN_1672961","XM_942165.1","LOC652624"
"ILMN_1699520","NM_021097.2","SLC8A1"
"ILMN_1758392","NM_181670.2","ANKS1B"
"ILMN_1723113","NM_172005.1","WFDC13"
"ILMN_1720255","XM_936152.1","LOC642072"
"ILMN_1668847","NM_199424.1","WWP2"
"ILMN_1777340","NM_004397.3","DDX6"
"ILMN_1797281","XM_001126260.1","LOC727851"
"ILMN_1672600","XM_944646.1","LOC651401"
"ILMN_1652940","NR_003608.1","MGC16703"
"ILMN_1785202","NM_003151.2","STAT4"
"ILMN_1696468","XM_927666.1","LOC644544"
"ILMN_1802702","NM_173541.1","C10orf91"
"ILMN_1697872","NM_198078.1","C21orf121"
"ILMN_2403458","NM_001007468.1","SMARCB1"
"ILMN_1758823","NM_001007468.1","SMARCB1"
"ILMN_1656882","XM_372630.2","LOC390712"
"ILMN_1689004","NM_016639.1","TNFRSF12A"
"ILMN_1710280","NM_030773.2","TUBB1"
"ILMN_2157843","NM_001037232.2","ZNF829"
"ILMN_1718259","NM_001037232.2","ZNF829"
"ILMN_1712605","NM_001037232.2","ZNF829"
"ILMN_2170625","NM_001018022.1","LOC389286"
"ILMN_1669826","NM_017760.4","LUZP5"
"ILMN_2233279","NM_001014373.1","C19orf31"
"ILMN_1782782","NM_001014373.1","C19orf31"
"ILMN_1764754","NM_005855.2","RAMP1"
"ILMN_1719344","XM_001127763.1","LOC730820"
"ILMN_1685763","NM_019613.2","WDR45L"
"ILMN_1688413","NM_012245.2","SNW1"
"ILMN_1694502","NM_000946.2","PRIM1"
"ILMN_2067708","NM_022366.1","TFB2M"
"ILMN_2067709","NM_022366.1","TFB2M"
"ILMN_1661078","XM_927939.2","LOC644844"
"ILMN_1803528","NM_024727.2","LRRC31"
"ILMN_1703425","XM_932504.1","LOC642918"
"ILMN_1662306","NM_173825.3","RABL3"
"ILMN_2221769","NM_001009611.1","PRAMEF4"
"ILMN_2221768","NM_001009611.1","PRAMEF4"
"ILMN_1753729","NM_000893.2","KNG1"
"ILMN_1714586","NM_016206.2","VGLL3"
"ILMN_1696087","NM_007273.3","PHB2"
"ILMN_1811387","NM_003226.2","TFF3"
"ILMN_1665696","NM_005227.2","EFNA4"
"ILMN_1683909","NM_020389.1","TRPC7"
"ILMN_1717013","XM_936970.1","LOC647910"
"ILMN_1729874","NM_198944.1","OR7C1"
"ILMN_1752320","XM_927932.1","LOC644836"
"ILMN_1769116","NM_178536.2","LCN12"
"ILMN_1740586","NM_000300.2","PLA2G2A"
"ILMN_1742197","NM_152671.3","PIKFYVE"
"ILMN_2113049","NM_012413.3","QPCT"
"ILMN_1741727","NM_012413.3","QPCT"
"ILMN_1670177","XM_941815.2","LOC647190"
"ILMN_2045800","NM_152587.3","C11orf65"
"ILMN_1664724","XM_941573.2","LOC652200"
"ILMN_1686283","NM_017424.2","CECR1"
"ILMN_1673104","XM_927686.1","LOC644571"
"ILMN_1784040","NM_004851.1","NAPSA"
"ILMN_1681057","XM_946081.1","C7orf20"
"ILMN_1704353","NM_001542.2","IGSF3"
"ILMN_1716555","NM_175923.3","MGC42630"
"ILMN_1758928","XM_936831.2","IQSEC3"
"ILMN_2262930","NM_012324.3","MAPK8IP2"
"ILMN_2351262","NM_012324.3","MAPK8IP2"
"ILMN_1785324","NM_005956.2","MTHFD1"
"ILMN_1776850","NM_170678.2","ITGB1BP3"
"ILMN_1656812","NM_170678.2","ITGB1BP3"
"ILMN_1654185","XM_372913.3","LOC391347"
"ILMN_1747655","NM_207310.1","CCDC74B"
"ILMN_1669663","NM_021574.1","BCR"
"ILMN_1788415","NM_001038706.1","C8orf54"
"ILMN_1774071","NM_020406.2","CD177"
"ILMN_2195892","NM_144644.2","SPATA4"
"ILMN_1782247","NM_021078.2","KAT2A"
"ILMN_1690583","XM_001127908.1","LOC728608"
"ILMN_1736872","XM_942012.1","LOC650107"
"ILMN_1791645","XM_942793.1","SSX4"
"ILMN_1718832","NM_006542.2","SPHAR"
"ILMN_2068202","NM_005919.1","MEF2B"
"ILMN_1651470","XM_942715.1","MMP17"
"ILMN_1728799","NM_000507.2","FBP1"
"ILMN_1656074","XM_931838.1","LOC653145"
"ILMN_1779144","NM_207375.1","CLEC2A"
"ILMN_1664601","XM_944513.1","LOC648763"
"ILMN_1689518","NM_000442.3","PECAM1"
"ILMN_1661344","XM_943049.2","LOC647839"
"ILMN_1729212","NM_000845.1","GRM8"
"ILMN_1751069","NM_020641.1","C9orf11"
"ILMN_1772369","NM_000284.1","PDHA1"
"ILMN_1778756","NM_177536.1","SULT1A1"
"ILMN_1656900","NM_177536.1","SULT1A1"
"ILMN_1657302","NM_177536.1","SULT1A1"
"ILMN_1656257","XM_001134308.1","LOC732275"
"ILMN_1760033","XM_926567.1","LOC643203"
"ILMN_2388155","NM_032991.2","CASP3"
"ILMN_2215355","NM_001013671.1","LOC400499"
"ILMN_1728338","NM_001013671.1","LOC400499"
"ILMN_1789871","XM_940028.2","LOC197350"
"ILMN_1804150","NM_152740.2","HIBADH"
"ILMN_1772712","NM_194457.1","UBE2J2"
"ILMN_1673158","NM_182535.1","LOC200261"
"ILMN_2151281","NM_031412.2","GABARAPL1"
"ILMN_1722178","XM_001125942.1","LOC727849"
"ILMN_1806103","XM_001125942.1","LOC727849"
"ILMN_1727001","NM_014829.2","DDX46"
"ILMN_1657750","NM_020348.1","CNNM1"
"ILMN_1674243","NM_003234.1","TFRC"
"ILMN_1752117","NM_018710.1","TMEM55A"
"ILMN_1734968","XM_938315.1","LOC649248"
"ILMN_1730504","NM_020133.2","AGPAT4"
"ILMN_2409720","NM_032214.2","SLA2"
"ILMN_1813836","NM_001349.2","DARS"
"ILMN_1677955","NM_001247.1","ENTPD6"
"ILMN_2091792","NM_001247.1","ENTPD6"
"ILMN_2206009","NM_032029.2","FCAMR"
"ILMN_2359907","NM_001251.2","CD68"
"ILMN_2267914","NM_001251.2","CD68"
"ILMN_1742889","NM_024102.2","WDR77"
"ILMN_1673757","NM_001080125.1","CASP8"
"ILMN_1768933","XM_939766.1","LOC650678"
"ILMN_2404589","NM_173605.1","KCNRG"
"ILMN_1772123","NM_198839.1","ACACA"
"ILMN_1667641","NM_198839.1","ACACA"
"ILMN_1781076","NM_001039615.3","ZNF705D"
"ILMN_1653562","NM_001039615.3","ZNF705D"
"ILMN_1742280","NM_001039615.3","ZNF705D"
"ILMN_1694220","XM_943550.1","LOC339782"
"ILMN_1713141","XM_944097.2","LOC389641"
"ILMN_1765641","NM_006080.2","SEMA3A"
"ILMN_1669167","XM_944149.1","LOC650323"
"ILMN_1700627","XR_017411.1","LOC653800"
"ILMN_1706839","NM_006706.3","TCERG1"
"ILMN_2289301","NM_006706.3","TCERG1"
"ILMN_2398039","NM_006706.3","TCERG1"
"ILMN_2156250","NM_003955.3","SOCS3"
"ILMN_1706553","NM_173156.1","SMG7"
"ILMN_1690469","NM_173156.1","SMG7"
"ILMN_1685952","NM_005622.3","ACSM3"
"ILMN_1771084","NM_005622.3","ACSM3"
"ILMN_1783448","NM_006141.2","DYNC1LI2"
"ILMN_1746659","XM_930661.1","LOC653050"
"ILMN_1776480","NM_015517.3","HINFP"
"ILMN_1727101","NM_001009909.2","LUZP2"
"ILMN_1811346","XM_937684.1","LOC648615"
"ILMN_1669227","NM_033304.1","ADRA1A"
"ILMN_1715416","NM_015354.1","NUP188"
"ILMN_1726002","XM_939618.1","LOC650528"
"ILMN_1794597","NM_025169.1","ZNF167"
"ILMN_1733366","NM_014975.1","MAST1"
"ILMN_1704858","XM_928554.1","LOC645535"
"ILMN_1733851","NM_145056.1","DACT3"
"ILMN_2372011","NM_033630.1","SCAND1"
"ILMN_1657274","XM_001134034.1","LOC729744"
"ILMN_1795744","XM_001134034.1","LOC729744"
"ILMN_1663065","XM_001134034.1","LOC729744"
"ILMN_1698552","XM_929715.1","LOC646764"
"ILMN_1737247","XM_066484.1","LOC139116"
"ILMN_1812256","NM_198141.2","GANC"
"ILMN_1667125","NM_031464.3","RPS6KL1"
"ILMN_1697527","XM_001130267.1","LOC729444"
"ILMN_1651351","XM_001130267.1","LOC729444"
"ILMN_1663245","XM_001130267.1","LOC729444"
"ILMN_1757129","NM_203411.1","TMEM88"
"ILMN_1684377","XM_945018.1","LOC649030"
"ILMN_1666087","XM_944520.1","LOC651131"
"ILMN_1686906","NM_021202.1","TP53INP2"
"ILMN_1809676","NM_145814.1","CACNG6"
"ILMN_1687202","XM_931239.1","LOC643012"
"ILMN_1807972","NM_022765.2","MICAL1"
"ILMN_1655625","NM_018025.2","GPATCH1"
"ILMN_1668432","NM_018439.2","IMPACT"
"ILMN_1797753","NM_030672.2","ARHGAP28"
"ILMN_1731178","NM_030672.2","ARHGAP28"
"ILMN_2071598","NM_021023.4","CFHR3"
"ILMN_1661399","XM_945148.1","LOC649604"
"ILMN_1728957","NM_022096.4","ANKRD5"
"ILMN_1662964","NM_005788.1","PRMT3"
"ILMN_1666653","NM_181443.1","BTBD3"
"ILMN_1668592","NM_006873.2","STON1"
"ILMN_1688776","XM_939947.2","LOC650861"
"ILMN_2412281","NM_001011515.1","PDLIM5"
"ILMN_2329773","NM_004580.3","RAB27A"
"ILMN_1797875","NM_001629.2","ALOX5AP"
"ILMN_2286570","NM_139025.2","ADAMTS13"
"ILMN_1743483","XM_379273.2","FLJ14186"
"ILMN_2359500","NM_001014839.1","NCDN"
"ILMN_1764654","XM_937048.1","LOC647993"
"ILMN_2088673","NM_001014372.2","CHR415SYT"
"ILMN_1765532","NM_002904.5","RDBP"
"ILMN_1781691","NM_015049.1","TRAK2"
"ILMN_1670318","NM_153005.1","RIOK1"
"ILMN_1672443","NM_000320.1","QDPR"
"ILMN_1707904","XR_017788.1","LOC641518"
"ILMN_1702167","XR_017788.1","LOC641518"
"ILMN_2388547","NM_033255.2","EPSTI1"
"ILMN_1681591","NM_002827.2","PTPN1"
"ILMN_1731941","NM_019101.2","APOM"
"ILMN_2172933","NM_178536.3","LCN12"
"ILMN_1742044","NM_002069.4","GNAI1"
"ILMN_2131467","NM_002069.4","GNAI1"
"ILMN_1652938","NM_024082.2","PRRG3"
"ILMN_1804834","NM_145063.2","C6orf130"
"ILMN_1756070","NM_001042536.1","INSC"
"ILMN_2340643","NM_001042536.1","INSC"
"ILMN_1795285","NM_015288.4","PHF15"
"ILMN_1745490","XM_940244.1","LOC651115"
"ILMN_2343677","NM_152989.2","SOX5"
"ILMN_1760051","NM_152989.2","SOX5"
"ILMN_1655261","NM_152321.1","ERP27"
"ILMN_1691487","NM_021138.3","TRAF2"
"ILMN_1764153","XM_928997.1","LOC646036"
"ILMN_2092943","NM_173357.2","SSX6"
"ILMN_1672759","NM_138357.1","CCDC109A"
"ILMN_1694100","NM_000947.2","PRIM2"
"ILMN_1674924","NM_207349.1","PRR17"
"ILMN_1688903","XR_015669.1","LOC728554"
"ILMN_1813246","XR_015669.1","LOC728554"
"ILMN_1691949","XR_015669.1","LOC728554"
"ILMN_1803191","XM_940256.1","LOC651126"
"ILMN_1670707","NM_152343.2","C17orf46"
"ILMN_1713533","NM_032136.4","TKTL2"
"ILMN_1766981","NM_014044.4","UNC50"
"ILMN_1684534","NM_177996.1","EPB41L1"
"ILMN_2361695","NM_004873.2","BAG5"
"ILMN_1788728","NM_005097.1","LGI1"
"ILMN_2171023","NM_005097.1","LGI1"
"ILMN_1730995","NM_001001936.1","AFAP1L2"
"ILMN_2412807","NM_023019.1","DCTN1"
"ILMN_1730696","NM_018651.2","ZNF167"
"ILMN_1761409","NM_018651.2","ZNF167"
"ILMN_1687403","NM_003776.2","MRPL40"
"ILMN_2364901","NM_001077182.1","FSCN2"
"ILMN_1702817","NM_001009905.1","B3GNTL1"
"ILMN_1776925","NM_022119.3","PRSS22"
"ILMN_1700394","XM_926100.1","LOC642629"
"ILMN_2188333","NM_001781.1","CD69"
"ILMN_1779109","NM_032741.3","AGPAT1"
"ILMN_1676413","NM_003385.4","VSNL1"
"ILMN_1782501","XM_927237.1","LOC653219"
"ILMN_1691228","NM_173644.1","C20orf197"
"ILMN_1673376","NM_005993.4","TBCD"
"ILMN_1795400","NM_005993.4","TBCD"
"ILMN_1733846","NM_001011720.1","XKR9"
"ILMN_1792383","NM_199346.1","PFN4"
"ILMN_2347068","NM_017572.2","MKNK2"
"ILMN_2406313","NM_006462.3","RBCK1"
"ILMN_1700747","XM_939804.2","LOC645320"
"ILMN_1678998","NM_014665.1","LRRC14"
"ILMN_2115553","NM_031435.1","THAP2"
"ILMN_1776523","XM_932802.2","LOC645307"
"ILMN_1731349","NM_000522.3","HOXA13"
"ILMN_2370862","NM_001080490.1","PLA2G4E"
"ILMN_1774074","NM_021976.3","RXRB"
"ILMN_1810166","XM_372532.3","SERPINA2"
"ILMN_1771261","NM_030786.1","SYNC1"
"ILMN_1672935","NM_153716.1","HSFY2"
"ILMN_1688833","NM_153716.1","HSFY2"
"ILMN_2291534","NM_153716.1","HSFY2"
"ILMN_2291538","NM_153716.1","HSFY2"
"ILMN_2401946","NM_153716.1","HSFY2"
"ILMN_1815570","NM_024014.2","HOXA6"
"ILMN_1729294","NM_018434.4","RNF130"
"ILMN_1728374","XM_938124.1","LOC649041"
"ILMN_2278686","NM_014659.3","HISPPD2A"
"ILMN_1773885","NM_001034023.1","DMAP1"
"ILMN_1737298","NM_005911.4","MAT2A"
"ILMN_1651438","NM_153813.2","ZFPM1"
"ILMN_1709042","NM_002896.2","RBM4"
"ILMN_1712455","NM_002896.2","RBM4"
"ILMN_1753353","NM_006527.2","SLBP"
"ILMN_2055700","NM_006527.2","SLBP"
"ILMN_1803183","NM_005718.3","ARPC4"
"ILMN_1802248","NM_173557.1","RNF152"
"ILMN_1709085","NM_031965.2","GSG2"
"ILMN_1786211","NM_003922.3","HERC1"
"ILMN_2361862","NM_001018056.1","VLDLR"
"ILMN_1709968","XM_945176.1","LOC652054"
"ILMN_1733627","NM_015277.3","NEDD4L"
"ILMN_1669624","NM_181739.1","LINS1"
"ILMN_1696591","NM_000321.2","RB1"
"ILMN_1759679","NM_152548.1","FAM81B"
"ILMN_1711346","NM_152403.2","EGFLAM"
"ILMN_1671808","NM_203311.1","CSAG3A"
"ILMN_2043126","NM_203311.1","CSAG3A"
"ILMN_1674640","NM_006564.1","CXCR6"
"ILMN_1813400","NM_032783.3","CBR4"
"ILMN_2186137","NM_004165.1","RRAD"
"ILMN_1683179","NM_004165.1","RRAD"
"ILMN_1747207","NM_000503.3","EYA1"
"ILMN_2301955","NM_199003.1","THAP1"
"ILMN_1678564","NM_182779.3","DVL1"
"ILMN_1657278","NM_182779.3","DVL1"
"ILMN_1756914","XM_933228.1","LOC645871"
"ILMN_2166812","NM_014512.1","KIR2DS1"
"ILMN_2074880","NM_138408.2","GTF3C6"
"ILMN_1691578","NM_138408.2","GTF3C6"
"ILMN_1807689","NM_022062.2","PKNOX2"
"ILMN_1795170","NM_032539.2","SLITRK2"
"ILMN_1801516","NM_002081.1","GPC1"
"ILMN_2161166","NM_001005517.1","OR5K4"
"ILMN_2328986","NM_004176.3","SREBF1"
"ILMN_1790202","NM_024319.2","C1orf35"
"ILMN_2211546","NM_017545.2","HAO1"
"ILMN_1674588","NM_017545.2","HAO1"
"ILMN_2215382","NM_175066.2","DDX51"
"ILMN_1660111","NM_006002.3","UCHL3"
"ILMN_1725833","NM_152590.1","IFLTD1"
"ILMN_1756455","NM_000564.2","IL5RA"
"ILMN_1701911","NM_130848.2","C5orf20"
"ILMN_1696748","XM_929610.2","LOC646667"
"ILMN_1754558","NM_201550.2","LRRC10"
"ILMN_1793655","NM_005054.1","RANBP2L1"
"ILMN_1731516","NM_021954.3","GJA3"
"ILMN_1876266","NM_021954.3","GJA3"
"ILMN_1693896","NM_016529.4","ATP8A2"
"ILMN_1712390","NM_001014838.1","CUTA"
"ILMN_1763521","XM_933934.1","KIAA1751"
"ILMN_1691550","NR_002564.1","SNORD26"
"ILMN_1653324","NM_052962.2","IL22RA2"
"ILMN_1805385","NM_052962.2","IL22RA2"
"ILMN_1697916","NM_152312.3","GYLTL1B"
"ILMN_1792207","NM_198205.1","MLX"
"ILMN_1685928","NM_052844.3","WDR34"
